name,host_id,host_is_superhost,neighbourhood_cleansed,neighbourhood_group_cleansed,latitude,longitude,property_type,room_type,accommodates,bedrooms,price,maximum_nights,availability_365,number_of_reviews,calculated_host_listings_count,reviews_per_month,total_amenities
Historic NYC Townhouse in Landmarked District,474338092,f,Long Island City,Queens,40.74595,-73.94475,Entire condo,Entire home/apt,6,2.0,450.0,1125,363,13,1,0.42,705
Luxury apt in the best location of E. Williamsburg,736652,f,Williamsburg,Brooklyn,40.71356,-73.94187,Entire condo,Entire home/apt,4,2.0,470.0,365,167,8,1,0.26,986
You Found It! Minutes to Verizon Plaza,25138314,f,Midtown,Manhattan,40.74782,-73.98652,Room in hotel,Hotel room,2,1.0,40000.0,1125,293,0,70,0.0,351
Rare Gem! Near Museum of Modern Art,25138314,f,Midtown,Manhattan,40.74782,-73.98652,Room in hotel,Hotel room,2,1.0,50000.0,1125,293,0,70,0.0,351
Look No More! Pets Allowed HERE!,25138314,f,Midtown,Manhattan,40.74782,-73.98652,Room in hotel,Hotel room,2,1.0,40000.0,1125,293,0,70,0.0,351
Rare Find! Near Museum of Modern Art,25138314,f,Midtown,Manhattan,40.74782,-73.98652,Room in hotel,Hotel room,4,1.0,40000.0,1125,362,1,70,0.04,351
Prime Location! Minutes to Verizon Plaza,25138314,f,Midtown,Manhattan,40.74782,-73.98652,Room in hotel,Hotel room,4,1.0,40000.0,1125,362,0,70,0.0,351
Amazing and cozy 2BR Best location in Central Park,424296351,f,Upper East Side,Manhattan,40.77207,-73.95432,Entire rental unit,Entire home/apt,4,2.0,3920.0,365,365,0,85,0.0,243
Lovely 2BR apt in Upper East Side Central Park!,424296351,f,Upper East Side,Manhattan,40.77225,-73.95337,Entire rental unit,Entire home/apt,5,2.0,200.0,365,289,0,85,0.0,284
Unique Escape,2415525,f,Soundview,Bronx,40.82708,-73.87756,Entire rental unit,Entire home/apt,4,2.0,254.0,365,365,10,2,0.33,950
Manor Avenue Retreat,2415525,f,Soundview,Bronx,40.828271437463066,-73.8765927883606,Entire rental unit,Entire home/apt,8,3.0,299.0,365,270,11,2,0.37,881
Vintage Designed Apartment! - JMZ Train,284337887,f,Bushwick,Brooklyn,40.70081,-73.94062,Private room in rental unit,Private room,1,1.0,43.0,1125,320,2,18,0.07,177
1009 Willoughby,487718285,f,Bushwick,Brooklyn,40.70022,-73.92822,Private room in rental unit,Private room,1,1.0,68.0,45,352,0,2,0.0,140
"Gorgeous, serene 1 Bd apt , 3 min to train",487732145,f,Woodside,Queens,40.756329,-73.90759880000002,Private room in rental unit,Private room,2,1.0,119.0,365,364,11,1,0.36,687
Pad in the Greene! Pvt Studio Apt in Ft Greene!,120974884,f,Fort Greene,Brooklyn,40.6885286,-73.9707512,Entire rental unit,Entire home/apt,2,0.0,104.0,240,113,12,4,0.4,852
Spacious space with loft in Times Square,487744769,f,Hell's Kitchen,Manhattan,40.75961,-73.98865,Entire rental unit,Entire home/apt,2,0.0,264.0,60,3,48,1,2.41,618
521 West 48-Spacious 1 bedroom,51501835,f,Hell's Kitchen,Manhattan,40.7640949,-73.99374279999999,Entire rental unit,Entire home/apt,3,1.0,194.0,365,321,3,180,0.1,286
Cozy Brooklyn Bedstuy Brownstone,376377428,t,Bedford-Stuyvesant,Brooklyn,40.689026074468224,-73.9281235377861,Entire rental unit,Entire home/apt,2,1.0,149.0,1125,72,59,1,4.45,1056
83-2FE UES Central Park Newly Furnished Studio,162280872,f,Upper East Side,Manhattan,40.77620074651976,-73.9542706310749,Entire rental unit,Entire home/apt,3,0.0,192.0,365,332,1,237,0.05,544
Riverside New York,284064678,t,Harlem,Manhattan,40.832063,-73.9485857,Entire serviced apartment,Entire home/apt,2,1.0,107.0,1125,311,34,2,1.11,880
Art House for the discrete traveler,5468026,t,Bedford-Stuyvesant,Brooklyn,40.67708289999999,-73.9176282,Private room in home,Private room,1,1.0,110.0,14,26,87,1,2.82,1286
it is a comfortable and safe place.,453528099,f,Belmont,Bronx,40.85243,-73.88443,Entire rental unit,Entire home/apt,2,1.0,120.0,365,365,4,1,0.13,530
3 Bedroom Apartment Yankee Stadium,437113809,No info available,Van Nest,Bronx,40.84695,-73.86464,Entire rental unit,Entire home/apt,7,3.0,150.0,730,365,18,2,0.58,1261
Sweet Apartment,59459809,t,Sunset Park,Brooklyn,40.64724390823841,-74.017974129857,Entire home,Entire home/apt,2,1.0,169.0,28,145,121,1,3.88,1064
Luxurious 2 bedroom in the heart of Flushing,487744763,f,Flushing,Queens,40.7477822,-73.8140379,Entire rental unit,Entire home/apt,7,2.0,150.0,1125,90,65,1,2.07,823
Heart of Williamsburg,21387155,f,Williamsburg,Brooklyn,40.71839,-73.95692,Entire rental unit,Entire home/apt,3,1.0,266.0,365,243,0,1,0.0,95
Private Room in Midtown,361456321,f,Midtown,Manhattan,40.75178876039786,-73.98650486773681,Private room in rental unit,Private room,1,2.0,159.0,90,149,29,1,0.94,111
Apartment in Corona Queens,105692628,f,Jackson Heights,Queens,40.75411340000001,-73.86169699999999,Entire rental unit,Entire home/apt,6,3.0,150.0,365,333,20,1,0.65,736
Room B inside of Apartment 2R,422268900,f,Glendale,Queens,40.698947,-73.89332519999999,Private room in rental unit,Private room,1,1.0,57.0,30,365,11,2,0.37,290
Room C inside of apartment 2R,422268900,f,Glendale,Queens,40.698947,-73.89332519999999,Private room in rental unit,Private room,1,1.0,57.0,30,365,22,2,0.72,703
626 10th Ave- 3bed 2bath with private terrace,51501835,f,Hell's Kitchen,Manhattan,40.7611219,-73.9940447,Entire rental unit,Entire home/apt,4,0.0,257.0,365,323,0,180,0.0,228
Beautiful Spacious Private Room in Sunnyside,77719880,f,Sunnyside,Queens,40.74587,-73.91678,Private room in rental unit,Private room,1,1.0,90.0,56,89,0,1,0.0,628
Houston by Rove Travel | Patio & Shared Rooftop,489774110,f,Lower East Side,Manhattan,40.721518,-73.9850044,Entire condo,Entire home/apt,4,2.0,602.0,730,343,4,1,0.13,973
Lovely bedroom in NYC Apartment,421601513,t,Washington Heights,Manhattan,40.84727,-73.94342,Private room in rental unit,Private room,2,1.0,50.0,365,330,31,2,1.03,774
A Fantasy NYC Getaway Stay!,485803252,f,Harlem,Manhattan,40.8233127,-73.9531749,Private room in rental unit,Private room,2,1.0,68.0,365,180,5,1,0.16,134
Cosy apartment in Cobble Hill,18093303,f,Carroll Gardens,Brooklyn,40.683876,-73.9929839,Entire rental unit,Entire home/apt,2,0.0,167.0,90,127,11,1,0.38,891
"St.Johns Home 4 Medical Professionals - “Crepitus""",26377263,t,Far Rockaway,Queens,40.59793842192626,-73.75618010000001,Private room in home,Private room,2,1.0,47.0,1125,74,6,42,0.21,858
Cozy 2BR in West Harlem - Columbia University,23772724,t,Harlem,Manhattan,40.81725,-73.94316,Entire rental unit,Entire home/apt,4,2.0,200.0,365,364,1,77,0.04,475
